Lake,Model,Horizon_m,RMSE_m,MAE_m,n_scored,skill_vs_SARIMA_%,nRMSE_pct,MASE
Lake Victoria,GNAR_refit,1,0.0588,0.0463,60,6.1,10.7,0.146
Lake Victoria,GNAR_refit,3,0.1402,0.1088,58,-0.5,25.4,0.344
Lake Victoria,GNAR_refit,6,0.2344,0.1789,55,-3.4,42.5,0.565
Lake Victoria,GNAR_refit,12,0.3532,0.3082,49,-3.7,64.1,0.973
Lake Victoria,GNARX_wb,1,0.0463,0.0358,60,26.0,8.4,0.113
Lake Victoria,GNARX_wb,3,0.1279,0.101,58,8.3,23.2,0.319
Lake Victoria,GNARX_wb,6,0.2162,0.1687,55,4.6,39.2,0.533
Lake Victoria,GNARX_wb,12,0.3344,0.2893,49,1.8,60.7,0.914
Lake Victoria,GNARX_wb_refit,1,0.0466,0.036,60,25.6,8.5,0.114
Lake Victoria,GNARX_wb_refit,3,0.1284,0.1007,58,8.0,23.3,0.318
Lake Victoria,GNARX_wb_refit,6,0.2176,0.1672,55,4.0,39.5,0.528
Lake Victoria,GNARX_wb_refit,12,0.3398,0.2929,49,0.3,61.7,0.925
Lake Victoria,GNARX_wb_dmi,1,0.0453,0.0364,60,27.6,8.2,0.115
Lake Victoria,GNARX_wb_dmi,3,0.1151,0.0929,58,17.5,20.9,0.293
Lake Victoria,GNARX_wb_dmi,6,0.1938,0.1605,55,14.5,35.2,0.507
Lake Victoria,GNARX_wb_dmi,12,0.3298,0.289,49,3.2,59.8,0.913
Lake Victoria,GNARX_wb_dmi_refit,1,0.0456,0.0366,60,27.2,8.3,0.116
Lake Victoria,GNARX_wb_dmi_refit,3,0.1157,0.0929,58,17.1,21.0,0.293
Lake Victoria,GNARX_wb_dmi_refit,6,0.1953,0.1612,55,13.8,35.4,0.509
Lake Victoria,GNARX_wb_dmi_refit,12,0.3327,0.2924,49,2.3,60.4,0.924
